Player,Game Date,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Elias Pettersson,2024-01-11,VAN,L,C,1,2,2,4,1,0,4,2,3,0,1,0,0,1,1,5,40,20:54,60
Elias Pettersson,2024-01-08,VAN,L,C,1,2,2,4,3,0,4,2,4,0,0,0,0,0,1,3,66,19:06,--
Elias Pettersson,2023-10-11,VAN,L,C,1,1,3,4,1,0,4,0,1,1,3,0,0,0,0,5,20,18:26,40
Elias Pettersson,2023-10-31,VAN,L,C,1,3,0,3,1,0,3,2,2,1,1,0,0,0,1,5,60,18:53,57
Elias Pettersson,2024-01-27,VAN,L,C,1,2,1,3,0,0,3,1,1,1,2,0,0,1,1,5,40,21:50,60
Elias Pettersson,2024-01-06,VAN,L,C,1,2,1,3,4,0,3,2,3,0,0,0,0,0,1,4,50,19:51,33
Elias Pettersson,2024-03-19,VAN,L,C,1,2,1,3,1,0,3,1,2,1,1,0,0,0,1,4,50,22:07,57
Elias Pettersson,2023-11-09,VAN,L,C,1,1,2,3,0,0,3,0,2,1,1,0,0,0,0,2,50,18:30,25
Elias Pettersson,2024-02-10,VAN,L,C,1,1,2,3,1,0,3,1,3,0,0,0,0,0,0,1,100,19:23,53
Elias Pettersson,2023-12-09,VAN,L,C,1,1,2,3,3,0,3,1,3,0,0,0,0,0,1,3,33,19:45,25
Elias Pettersson,2023-11-02,VAN,L,C,1,0,3,3,2,0,3,0,2,0,1,0,0,0,0,1,0,14:34,33
Elias Pettersson,2024-02-15,VAN,L,C,1,0,3,3,3,0,3,0,3,0,0,0,0,0,0,1,0,18:51,60
Elias Pettersson,2024-01-02,VAN,L,C,1,2,0,2,1,0,2,1,1,1,1,0,0,0,0,5,40,17:17,33
Elias Pettersson,2023-12-02,VAN,L,C,1,1,1,2,3,0,2,1,2,0,0,0,0,0,1,3,33,20:58,53
Elias Pettersson,2024-03-09,VAN,L,C,1,1,1,2,2,0,2,0,1,1,1,0,0,0,0,2,50,16:03,50
Elias Pettersson,2023-12-19,VAN,L,C,1,1,1,2,2,0,2,1,2,0,0,0,0,0,0,6,16,18:58,16
Elias Pettersson,2024-01-20,VAN,L,C,1,1,1,2,-2,0,2,0,0,1,2,0,0,0,0,4,25,20:12,100
Elias Pettersson,2023-10-21,VAN,L,C,1,1,1,2,1,0,2,1,1,0,1,0,0,0,0,2,50,18:42,42
Elias Pettersson,2023-12-05,VAN,L,C,1,0,2,2,0,0,2,0,1,0,1,0,0,0,0,4,0,22:37,44
Elias Pettersson,2023-10-27,VAN,L,C,1,0,2,2,2,0,2,0,1,0,0,0,1,0,0,0,--,18:57,58
Elias Pettersson,2023-10-19,VAN,L,C,1,0,2,2,1,0,2,0,2,0,0,0,0,0,0,3,0,19:04,54
Elias Pettersson,2024-03-23,VAN,L,C,1,0,2,2,3,0,2,0,2,0,0,0,0,0,0,1,0,19:44,50
Elias Pettersson,2023-10-14,VAN,L,C,1,0,2,2,3,0,2,0,1,0,1,0,0,0,0,1,0,19:42,50
Elias Pettersson,2023-12-23,VAN,L,C,1,0,2,2,-2,0,2,0,1,0,1,0,0,0,0,7,0,17:59,50
Elias Pettersson,2023-12-17,VAN,L,C,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,4,25,20:08,60
Elias Pettersson,2023-11-04,VAN,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,7,14,20:30,40
Elias Pettersson,2024-01-09,VAN,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,4,25,19:33,0
Elias Pettersson,2024-03-05,VAN,L,C,1,1,0,1,2,0,1,1,1,0,0,0,0,0,0,4,25,21:51,68
Elias Pettersson,2023-11-16,VAN,L,C,1,1,0,1,-4,0,1,0,0,1,1,0,0,0,0,2,50,18:05,69
Elias Pettersson,2024-04-10,VAN,L,C,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,2,50,20:09,75
Elias Pettersson,2024-02-19,VAN,L,C,1,1,0,1,-1,2,1,1,1,0,0,0,0,0,0,4,25,19:14,33
Elias Pettersson,2024-01-15,VAN,L,C,1,1,0,1,1,2,1,0,0,1,1,0,0,0,0,3,33,19:59,66
Elias Pettersson,2023-11-28,VAN,L,C,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,3,33,21:33,50
Elias Pettersson,2024-01-18,VAN,L,C,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,100,22:29,100
Elias Pettersson,2024-03-07,VAN,L,C,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,3,0,19:38,53
Elias Pettersson,2023-11-06,VAN,L,C,1,0,1,1,-1,0,1,0,0,0,1,0,0,0,0,3,0,20:06,23
Elias Pettersson,2024-02-24,VAN,L,C,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,18:59,61
Elias Pettersson,2024-02-11,VAN,L,C,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,18:23,60
Elias Pettersson,2023-11-25,VAN,L,C,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,0,24:09,62
Elias Pettersson,2024-04-08,VAN,L,C,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,2,0,20:09,30
Elias Pettersson,2024-04-06,VAN,L,C,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,6,0,21:05,42
Elias Pettersson,2024-04-03,VAN,L,C,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,2,0,22:37,46
Elias Pettersson,2024-02-27,VAN,L,C,1,0,1,1,1,2,1,0,0,0,0,0,1,0,0,3,0,18:03,50
Elias Pettersson,2023-11-15,VAN,L,C,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,23:35,68
Elias Pettersson,2023-10-28,VAN,L,C,1,0,1,1,-1,0,1,0,0,0,1,0,0,0,0,2,0,27:03,41
Elias Pettersson,2023-11-11,VAN,L,C,1,0,1,1,-3,0,1,0,0,0,1,0,0,0,0,4,0,18:05,50
Elias Pettersson,2024-04-16,VAN,L,C,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,16:20,50
Elias Pettersson,2023-11-18,VAN,L,C,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,21:35,66
Elias Pettersson,2024-02-06,VAN,L,C,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,--,20:35,50
Elias Pettersson,2023-12-14,VAN,L,C,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,17:08,71
Elias Pettersson,2023-11-12,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,16:51,80
Elias Pettersson,2023-10-24,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19:30,61
Elias Pettersson,2024-02-22,VAN,L,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,22:59,20
Elias Pettersson,2024-02-20,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,19:16,57
Elias Pettersson,2024-04-13,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17:33,66
Elias Pettersson,2024-02-08,VAN,L,C,1,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,--,14:17,50
Elias Pettersson,2024-03-03,VAN,L,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,18:24,55
Elias Pettersson,2024-01-04,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17:21,37
Elias Pettersson,2024-02-29,VAN,L,C,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,0,17:47,50
Elias Pettersson,2024-02-13,VAN,L,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16:31,50
Elias Pettersson,2023-11-24,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16:07,55
Elias Pettersson,2023-12-21,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21:35,40
Elias Pettersson,2023-10-17,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,23:48,33
Elias Pettersson,2023-11-22,VAN,L,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,3,0,18:59,50
Elias Pettersson,2023-12-07,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17:49,30
Elias Pettersson,2024-03-16,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,20:59,54
Elias Pettersson,2023-11-20,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20:08,54
Elias Pettersson,2024-01-13,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20:01,50
Elias Pettersson,2024-02-17,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,21:08,60
Elias Pettersson,2023-11-30,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,18:30,40
Elias Pettersson,2024-01-22,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16:58,--
Elias Pettersson,2024-03-28,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,21:35,62
Elias Pettersson,2024-03-31,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20:09,58
Elias Pettersson,2024-03-21,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,20:16,80
Elias Pettersson,2023-12-12,VAN,L,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,--,18:47,70
Elias Pettersson,2023-12-16,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23:11,38
Elias Pettersson,2024-03-25,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22:09,50
Elias Pettersson,2024-03-13,VAN,L,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,2,0,18:37,55
Elias Pettersson,2023-12-28,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,19:03,27
Elias Pettersson,2024-04-18,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,18:22,40
Elias Pettersson,2024-01-24,VAN,L,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,20:31,33
Elias Pettersson,2024-04-02,VAN,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18:45,53